ID,기록일시,내식물ID,내식물이름,내용,노트태그,생장단계,성장스냅여부,공개여부,할일여부,완료일시,이미지수,이미지목록,생성일시
299259,2025-07-13 23:46,57852,스테파니아 에렉타,,,,true,false,false,,1,https://d3jk3dbuafh2pk.cloudfront.net/care-note/aoEO6NlQUqv28w68986Rfmf7nXksu70f_94EDE4EF-A7F2-4EBA-A439-08AC0205DDAC.png,2025-07-13 23:47
299258,2025-07-13 23:46,61246,스킨답서스 픽투스 엑조티카,,,,true,false,false,,1,https://d3jk3dbuafh2pk.cloudfront.net/care-note/4LjhIKDlbZFWW3nBf6NyBEKwhIMXaf0p_2A6260FF-7A84-47E6-8069-E7ABAA8F5C0D.png,2025-07-13 23:46
299257,2025-07-13 23:45,48235,립살리스 카스타,,,,true,false,false,,1,https://d3jk3dbuafh2pk.cloudfront.net/care-note/zwFIdHpjUugHDLeM9p5JelfEXGEfNoL2_5B1BF808-607E-489D-954C-54C08D12B9E4.png,2025-07-13 23:45
299255,2025-07-13 23:45,75503,필로덴드론 미칸,,,,true,false,false,,1,https://d3jk3dbuafh2pk.cloudfront.net/care-note/Xo0S4NcApOF7Y55dwmwESv83Vw7Poh1U_B65A7B69-CD14-4385-AADE-3ADCE8C0393E.png,2025-07-13 23:45
299254,2025-07-13 23:43,69568,,,,,true,false,false,,1,https://d3jk3dbuafh2pk.cloudfront.net/care-note/uu6tYKPzQI0Fu7w7OHm4lWmcJEouglIr_A466244A-274A-43E8-A8A0-5B6EFAD3F7BC.png,2025-07-13 23:43
299253,2025-07-13 23:43,91574,,,,,true,false,false,,1,https://d3jk3dbuafh2pk.cloudfront.net/care-note/azRDVmCG7x09tn69R0CpNlOiqhXXnjrP_8D180474-692A-4042-BE85-93B56A392FE6.png,2025-07-13 23:43
299252,2025-07-13 23:42,70317,호야 윌버그레이브,,,,true,false,false,,1,https://d3jk3dbuafh2pk.cloudfront.net/care-note/nhh8YLNAIqHfxWjBemvSChX3XNlivRmT_0059D8E5-1B75-467F-8B54-44963AD5D526.png,2025-07-13 23:42
299251,2025-07-13 23:41,75504,호야 크로니아나 슈퍼에스키모,,,,true,false,false,,1,https://d3jk3dbuafh2pk.cloudfront.net/care-note/SIWOMSR0Iu6gDhzoQ0pUGagjqRhmR2Cu_AE059D2F-7605-4F04-877E-F09F8893109F.png,2025-07-13 23:42
299250,2025-07-13 23:41,75505,호야 로툰디플로라,,,,true,false,false,,1,https://d3jk3dbuafh2pk.cloudfront.net/care-note/R9tK9fhrvC7tLXM6mw015Svhwb1gloC1_695CA33F-0AF9-4442-9F77-43C370AF290F.png,2025-07-13 23:41
299248,2025-07-13 23:41,80870,호야 휴스켈리아나 바리에가타,,,,true,false,false,,1,https://d3jk3dbuafh2pk.cloudfront.net/care-note/frbOoKxTWOMwmWtICT9ZYZMspitSBnRp_FF96309E-DDEF-4B8C-B412-122105DC1704.png,2025-07-13 23:41
299247,2025-07-13 23:40,66085,스킨답서스 오레우스,,,,true,false,false,,1,https://d3jk3dbuafh2pk.cloudfront.net/care-note/10asP6w14b8vYFurR52CXKYJehkXHOmW_B848A1F4-C052-4CA0-A580-60B32EA8B9C6.png,2025-07-13 23:40
299246,2025-07-13 23:39,90605,아라비카 커피나무,,,,true,false,false,,1,https://d3jk3dbuafh2pk.cloudfront.net/care-note/wbCSP80dCD53ef2yjXDrARAtoKTKAeJx_7C42A73B-0E4D-46C9-B76F-0CB71878518A.png,2025-07-13 23:39
299244,2025-07-13 23:37,68453,아데니움 오베숨,,,,true,false,false,,1,https://d3jk3dbuafh2pk.cloudfront.net/care-note/qG4m9EtDHkbI5AhHStjNXcJuozyA00s0_D35E38F7-B70B-4E4D-AF3C-605ABF175600.png,2025-07-13 23:37
299243,2025-07-13 23:36,48239,산세베리아,,,blooming,true,false,false,,1,https://d3jk3dbuafh2pk.cloudfront.net/care-note/7kKgyhVQbB9qzZFwO9lQI2KDtWFf8wl7_43661DAA-7F92-4775-9D9B-48B8D0E9CBBD.png,2025-07-13 23:37
296241,2025-07-06 23:08,111192,,새 식물을 추가했어요! 🪴 호야 칭흥엔시스,,,true,false,false,,1,https://d3jk3dbuafh2pk.cloudfront.net/user-plant/hctW62sm7f6cO7Hh7sTJq0GFM9jh4qaS_5E24C373-D5ED-4D22-9ABC-44386C9474B3.jpg,2025-07-06 23:08
295812,2025-07-05 23:36,66022,싱고니움 밀크컨페티,,,,true,false,false,,1,https://d3jk3dbuafh2pk.cloudfront.net/care-note/utZi7HXCLr9aenxEOEJE4KSrNINd2uaQ_E7263331-4BEA-404D-A955-6E4BA5829223.png,2025-07-05 23:36
295809,2025-07-05 23:35,57853,드라세나 수르쿨로사 밀키웨이,,,,true,false,false,,1,https://d3jk3dbuafh2pk.cloudfront.net/care-note/oa1u37tyxJrirmVnGlhsR90Lz5AlT2Ku_36B983DA-E4F1-4E97-AB6E-D6A79A6968DB.png,2025-07-05 23:35
292877,2025-06-29 09:00,70322,안스리움 비타리폴리움,,,,true,false,false,,1,https://d3jk3dbuafh2pk.cloudfront.net/care-note/SrUCmjTYsT5nNm0ziXjd09bJXiu38Iy9_BA852141-68F4-4669-BD73-3BBC2905BB17.png,2025-06-29 09:00
292876,2025-06-29 08:58,48239,산세베리아,,,flowering,true,false,false,,1,https://d3jk3dbuafh2pk.cloudfront.net/care-note/G1cJq5M5jyTWFx83PnSAxdahIinDsf1Y_BCF5E6ED-ACB5-4D6F-9519-6D67C8C25A5C.png,2025-06-29 08:58
292761,2025-06-29 00:15,70320,필로덴드론 멜라노크리섬,응애발견해서 물싸대기 갈김,,,false,false,false,,0,,2025-06-29 00:15
283062,2025-06-07 01:20,53453,파키라,,,,true,false,false,,1,https://d3jk3dbuafh2pk.cloudfront.net/care-note/2icVgS9OEqkbLMr7zWKP51qqqvqYGlNG_E0C21D94-D536-48F0-9156-4E11512E3EA3.jpg,2025-06-07 01:20
282736,2025-06-06 12:52,80870,호야 휴스켈리아나 바리에가타,,,,true,false,false,,1,https://d3jk3dbuafh2pk.cloudfront.net/care-note/VfzabEQsJfLCDGDAnCa0aj8SV7Shq9kK_FBE8D9FB-2634-4F4A-8DED-E98D9E067BE4.png,2025-06-06 12:52
279500,2025-05-31 10:00,105872,,,,,true,false,false,,1,https://d3jk3dbuafh2pk.cloudfront.net/care-note/ENvG0Ms6sbCQ4XgFHgeYQyuSqn9OiY62_257BFCF9-B057-45B2-97FB-A47BF1FE5AAF.jpg,2025-05-31 10:00
279495,2025-05-31 09:41,90605,아라비카 커피나무,,,,true,false,false,,1,https://d3jk3dbuafh2pk.cloudfront.net/care-note/KElwJDKiypddjV5BTp9cbkf3ah79xULF_B2B5E4CD-87F6-4C73-8597-660C9F707261.jpg,2025-05-31 09:41
279494,2025-05-31 09:40,90085,,,,,true,false,false,,1,https://d3jk3dbuafh2pk.cloudfront.net/care-note/MghhY3doFTGQBu25abYH7LWlL5qdrsoK_ABA8C8F2-3EC8-4454-B380-CB43672BDFAA.png,2025-05-31 09:40
279493,2025-05-31 09:38,57853,드라세나 수르쿨로사 밀키웨이,,,,true,false,false,,1,https://d3jk3dbuafh2pk.cloudfront.net/care-note/XK58dHP3HkBcMHlj8ztwOF4ZNJyymct1_AD27DCBD-DC78-4937-A4CE-B3B51B762333.png,2025-05-31 09:38
278946,2025-05-29 21:49,75503,필로덴드론 미칸,,,,true,false,false,,1,https://d3jk3dbuafh2pk.cloudfront.net/care-note/qA2NEqpLbnYTISBPY2kcozoSzlAjuykM_71FB48AA-3D1B-4E90-8591-CF502EFAC82B.jpg,2025-05-29 21:49
278475,2025-05-28 21:33,63639,,멀티코트,,,true,false,false,,1,https://d3jk3dbuafh2pk.cloudfront.net/care-note/4lSzCaOSHsi6MSGb5cNFvxWheetVvk5y_FB413DFD-0A68-4CD9-A68D-9432B2F44D34.jpg,2025-05-28 21:34
278472,2025-05-28 21:27,65280,로즈마리,코니도입제,코니도살포,,false,false,false,,0,,2025-05-28 21:27
277034,2025-05-25 20:28,57851,장미허브,장미허브 유치원,,,true,false,false,,1,https://d3jk3dbuafh2pk.cloudfront.net/care-note/SOjKSWQJ2ZI1t0L1Pa2qkTuluIJATmgp_A2D2D9D8-900C-48CF-B35E-3FB6B3BB712D.jpg,2025-05-25 20:29
276798,2025-05-25 12:07,68453,아데니움 오베숨,가지치기,가지치기,,true,false,false,,1,https://d3jk3dbuafh2pk.cloudfront.net/care-note/sVMfOAk14OXLTSrpQbQx8qCpHYcrxApX_25D2A810-90CF-416E-A756-1381D47B6BDA.jpg,2025-05-25 12:08
276063,2025-05-23 19:02,103200,시조바시스 인트리카타,,,,true,false,false,,1,https://d3jk3dbuafh2pk.cloudfront.net/care-note/UCO51AaE8LxXG8BUBClUx62JOuF9JjQq_838B69F1-7CE4-400F-9695-970558A2B1F0.png,2025-05-23 19:02
276060,2025-05-23 18:57,68453,아데니움 오베숨,,,,true,false,false,,1,https://d3jk3dbuafh2pk.cloudfront.net/care-note/f5FI450g1hv3tx2D5RPdsznsloii8w45_7DB5D5D8-1C1B-4947-960D-ACEC3FB82217.png,2025-05-23 18:57
276057,2025-05-23 18:56,75504,호야 크로니아나 슈퍼에스키모,,,,true,false,false,,1,https://d3jk3dbuafh2pk.cloudfront.net/care-note/SyqIz3hj5wE6OZRXNtxrsKZ4B6Etnouj_4BA63B55-8030-4486-8D9D-81758F58D63B.jpg,2025-05-23 18:56
276056,2025-05-23 18:55,75504,호야 크로니아나 슈퍼에스키모,,,flowering,true,false,false,,2,https://d3jk3dbuafh2pk.cloudfront.net/care-note/Ng0Kh8yEzVOfxKCe1EqGvWmeOJejI6Ak_F4509577-64BD-441A-8966-FF6C645D3B03.png|https://d3jk3dbuafh2pk.cloudfront.net/care-note/OXrF8bUYNmD9JVLllaLQuQtK3PBNoixo_A43301A6-CF89-4AE5-957F-E5072719504A.png,2025-05-23 18:55
275202,2025-05-21 22:02,104483,,새 식물을 추가했어요! 🪴 스킨답서스 엔조이,,,true,false,false,,1,https://d3jk3dbuafh2pk.cloudfront.net/user-plant/Faw5h8BCQuwK2BlCFfN1Vw7QjAxEW0ja_A755B399-07D6-42C4-A7AD-2FCBF9DB75D1.jpg,2025-05-21 22:02
274252,2025-05-19 22:13,58183,,,,,true,false,false,,1,https://d3jk3dbuafh2pk.cloudfront.net/care-note/xBrFqen6xti40qHCCmjpbjvxRv3qz2le_FF9B6D27-73F8-4879-82EA-952C1B523696.png,2025-05-19 22:13
271633,2025-05-14 19:21,103292,테이블야자,새 식물을 추가했어요! 🪴 테이블야자,,,true,false,false,,1,https://d3jk3dbuafh2pk.cloudfront.net/user-plant/B8fhCBng3CpFGHxkwINQJm88IgI6LLWT_74236105-1C5D-49C4-924D-1D987A68627A.jpg,2025-05-14 19:21
271258,2025-05-13 22:51,103200,시조바시스 인트리카타,죽은줄 알고 내다 버릴라 그랬더니 왜 용케 살아나는거니,,,true,false,false,,1,https://d3jk3dbuafh2pk.cloudfront.net/care-note/pnQktu3Ae24QkeqRSEsWPbVHC8IlZsWW_70ACBF3F-8CFD-43F6-846F-EFBD8D123BD0.jpg,2025-05-13 22:51
271256,2025-05-13 22:50,103200,시조바시스 인트리카타,새 식물을 추가했어요! 🪴 시조바시스 인트리카타,,,true,false,false,,1,https://d3jk3dbuafh2pk.cloudfront.net/user-plant/MdWONEyGIuLbSlLgyjzgDBad2LrrLl76_C1B9A141-4958-4577-90DA-F26788088124.jpg,2025-05-13 22:50
270741,2025-05-12 22:05,75503,필로덴드론 미칸,,,,true,false,false,,1,https://d3jk3dbuafh2pk.cloudfront.net/care-note/svN28TMhOvRiBVxR44sArPtnvfsYTZDl_B56EE74F-E117-48C9-8998-A728D3516634.png,2025-05-12 22:05
270732,2025-05-12 21:55,67035,스킨답서스 트루비 문라이트,,,,true,false,false,,1,https://d3jk3dbuafh2pk.cloudfront.net/care-note/YkUHq0CE08GkIKnUeF5IAXIpMjTh9qXN_C6ECA503-25DE-4F46-AEB8-9E3BCD7DE2B1.jpg,2025-05-12 21:56
270730,2025-05-12 21:54,61246,스킨답서스 픽투스 엑조티카,,,,true,false,false,,1,https://d3jk3dbuafh2pk.cloudfront.net/care-note/uqZ7hruGD4geCfv41ny8pMoZTvtj0O6f_0EE08398-78AD-4D90-AB01-D059AB38E7DD.png,2025-05-12 21:54
270087,2025-05-11 17:50,53453,파키라,,,,true,false,false,,1,https://d3jk3dbuafh2pk.cloudfront.net/care-note/zxPTEF4gJMYG2NATH73GP908nUlk0g2Z_853EAF74-491E-46CA-BCE6-F02903809567.png,2025-05-11 17:51
270082,2025-05-11 17:46,52060,쉐프렐라,,,,true,false,false,,1,https://d3jk3dbuafh2pk.cloudfront.net/care-note/AA1Oqr62sIl05WqQEIrksYXGyCWAcm2L_C5A505AF-84A2-44DC-9781-2B0C184A26C3.png,2025-05-11 17:46
270079,2025-05-11 17:45,48237,올리브나무,,,,true,false,false,,1,https://d3jk3dbuafh2pk.cloudfront.net/care-note/BngchVTHCm2kfADafCcapE36lwD0gpxM_FC4AD569-D4E0-4F00-8067-10F76085D92D.png,2025-05-11 17:45
